name,price,link
Case Mid Tower Armaggeddon Tritron 2 Black con 3 Cooler ARGB,49.98,https://www.mercadolibre.com.ec/case-mid-tower-armaggeddon-tritron-2-black-con-3-cooler-argb/p/MEC60860239#polycard_client=search-desktop&search_layout=grid&position=32&type=product&tracking_id=6a499e96-4072-43b6-a601-d735de2d689c&wid=MEC701779502&sid=search
Computador Pc Cpu Amd Ryzen 7 5700 Ssd Nvidia Rtx 3050 + 8gb 8 Gb,801.12,https://www.mercadolibre.com.ec/computador-pc-cpu-amd-ryzen-7-5700-ssd-nvidia-rtx-3050--8gb/up/MECU3196582764#polycard_client=search-desktop&search_layout=grid&position=33&type=product&tracking_id=6a499e96-4072-43b6-a601-d735de2d689c&wid=MEC622819238&sid=search
Gabinete Corsair Frame 3500x Lx-r Rgb Icue Link Black Negro,172.0,https://www.mercadolibre.com.ec/gabinete-corsair-frame-3500x-lx-r-rgb-icue-link-black-negro/p/MEC62976226#polycard_client=search-desktop&search_layout=grid&position=34&type=product&tracking_id=6a499e96-4072-43b6-a601-d735de2d689c&wid=MEC770081620&sid=search
Computador Pc Cpu Amd Ryzen 7 5700 +16gb Ssd Nvidia Rtx 3050 16 Gb,888.63,https://www.mercadolibre.com.ec/computador-pc-cpu-amd-ryzen-7-5700-16gb-ssd-nvidia-rtx-3050/up/MECU2438808456#polycard_client=search-desktop&search_layout=grid&position=35&type=product&tracking_id=6a499e96-4072-43b6-a601-d735de2d689c&wid=MEC516906687&sid=search
Computador Gamer Cpu Intel Ultra 7 265k +32gb + Rtx 5060 Ssd 1 Tb 32 Gb Rtx 5060,1855.0,https://www.mercadolibre.com.ec/computador-gamer-cpu-intel-ultra-7-265k-32gb--rtx-5060-ssd/up/MECU2434160823#polycard_client=search-desktop&search_layout=grid&position=36&type=product&tracking_id=6a499e96-4072-43b6-a601-d735de2d689c&wid=MEC516419337&sid=search
Computador Gamer Intel Core I9 14900k Rtx 5070ti +32gb Ddr5 1 Tb 64 Gb 5070,3044.0,https://www.mercadolibre.com.ec/computador-gamer-intel-core-i9-14900k-rtx-5070ti-32gb-ddr5/up/MECU2434217463#polycard_client=search-desktop&search_layout=grid&position=37&type=product&tracking_id=6a499e96-4072-43b6-a601-d735de2d689c&wid=MEC517257621&sid=search
Computador Gamer Pc Cpu Ryzen5 7600 Nvidia Rtx 5050 16g Ddr5 16 Gb,1407.0,https://www.mercadolibre.com.ec/computador-gamer-pc-cpu-ryzen5-7600-nvidia-rtx-5050-16g-ddr5/up/MECU2434054217#polycard_client=search-desktop&search_layout=grid&position=38&type=product&tracking_id=6a499e96-4072-43b6-a601-d735de2d689c&wid=MEC516336402&sid=search
Ltc Pc Gamer Ryzen 7 7700x B650 16gb Ram 1tb Ssd Rtx 4070 16 Gb,2137.0,https://www.mercadolibre.com.ec/ltc-pc-gamer-ryzen-7-7700x-b650-16gb-ram-1tb-ssd-rtx-4070/up/MECU2438944968#polycard_client=search-desktop&search_layout=grid&position=39&type=product&tracking_id=6a499e96-4072-43b6-a601-d735de2d689c&wid=MEC517452940&sid=search
Ltc Computador Amd Ryzen 5 5600gt (500gb Ssd/8gb Ram) Gaming 8 Gb,493.99,https://www.mercadolibre.com.ec/ltc-computador-amd-ryzen-5-5600gt-500gb-ssd8gb-ram-gaming/up/MECU2438991324#polycard_client=search-desktop&search_layout=grid&position=40&type=product&tracking_id=6a499e96-4072-43b6-a601-d735de2d689c&wid=MEC517504587&sid=search
Ltc Pc Gamer Intel I7 14700kf B760/1tb/32gbram/rtx4070/750w 16 Gb,2199.0,https://www.mercadolibre.com.ec/ltc-pc-gamer-intel-i7-14700kf-b7601tb32gbramrtx4070750w/up/MECU2438975836#polycard_client=search-desktop&search_layout=grid&position=41&type=product&tracking_id=6a499e96-4072-43b6-a601-d735de2d689c&wid=MEC517968246&sid=search
Cpu Gamer Lenovo Core I9 - 64 Gb Ram - 2 Tb Ssd + Rtx 24 Gb 64 Gb,2889.0,https://www.mercadolibre.com.ec/cpu-gamer-lenovo-core-i9--64-gb-ram--2-tb-ssd--rtx-24-gb/up/MECU2662555277#polycard_client=search-desktop&search_layout=grid&position=42&type=product&tracking_id=6a499e96-4072-43b6-a601-d735de2d689c&wid=MEC519630389&sid=search
"Ltc Computador Amd Ryzen 7 5700g 4,6ghz(500gb Ssd/8gb Ram) 8 Gb",445.49,https://www.mercadolibre.com.ec/ltc-computador-amd-ryzen-7-5700g-46ghz500gb-ssd8gb-ram/up/MECU2438973832#polycard_client=search-desktop&search_layout=grid&position=43&type=product&tracking_id=6a499e96-4072-43b6-a601-d735de2d689c&wid=MEC517857670&sid=search
Ltc Pc Gamer Intel I5 12400 B760m/ssd500gb/16gb Ram/rtx 4060 8 Gb,1282.0,https://www.mercadolibre.com.ec/ltc-pc-gamer-intel-i5-12400-b760mssd500gb16gb-ramrtx-4060/up/MECU2438975096#polycard_client=search-desktop&search_layout=grid&position=44&type=product&tracking_id=6a499e96-4072-43b6-a601-d735de2d689c&wid=MEC517478644&sid=search
Computador Pc Cpu Intel Core I5 Ddr5 8gb Ssd Nvidia Rtx 3050 8 Gb,745.0,https://www.mercadolibre.com.ec/computador-pc-cpu-intel-core-i5-ddr5-8gb-ssd-nvidia-rtx-3050/up/MECU2434171645#polycard_client=search-desktop&search_layout=grid&position=45&type=product&tracking_id=6a499e96-4072-43b6-a601-d735de2d689c&wid=MEC516725462&sid=search
"Servidor HP DL380p G8 E5-2650 de 64 GB y 7,2 TB durante 1 año - Excelente (Reacondicionado)",1500.0,https://www.mercadolibre.com.ec/servidor-hp-dl380p-g8-e5-2650-de-64-gb-y-72-tb-durante-1-ano-excelente-reacondicionado/p/MEC2013767513#polycard_client=search-desktop&search_layout=grid&position=46&type=product&tracking_id=6a499e96-4072-43b6-a601-d735de2d689c&wid=MEC711386514&sid=search
Computador Pc Cpu Intel Core I7 + 16gb + Ssd Nvidia Rtx 3050 16 Gb,1025.0,https://www.mercadolibre.com.ec/computador-pc-cpu-intel-core-i7--16gb--ssd-nvidia-rtx-3050/up/MECU2662690283#polycard_client=search-desktop&search_layout=grid&position=47&type=product&tracking_id=6a499e96-4072-43b6-a601-d735de2d689c&wid=MEC516672820&sid=search
Gamer Suprema Pc Cpu Ryzen 9 7900 Nvme +64gb +rtx 4080 16g 64 Gb,3450.0,https://www.mercadolibre.com.ec/gamer-suprema-pc-cpu-ryzen-9-7900-nvme-64gb-rtx-4080-16g/up/MECU2438782698#polycard_client=search-desktop&search_layout=grid&position=48&type=product&tracking_id=6a499e96-4072-43b6-a601-d735de2d689c&wid=MEC526149626&sid=search
Mini Pc Intel 128gb 8gb Ram N3350 Windows 10 4k Wifi Bt Eth 8 Gb,310.43,https://www.mercadolibre.com.ec/mini-pc-intel-128gb-8gb-ram-n3350-windows-10-4k-wifi-bt-eth/up/MECU2438551422#polycard_client=search-desktop&search_layout=grid&position=49&type=product&tracking_id=6a499e96-4072-43b6-a601-d735de2d689c&wid=MEC528671648&sid=search
Ltc Pc Gamer Ryzen 9 7900x3d X670e 32gb Ram 1tb Rtx 4070ti 32 Gb,3286.0,https://click1.mercadolibre.com.ec/mclics/clicks/external/MEC/count?a=eP8b6PwAg6CB86mm0q2jxs0587%2B%2FvocEjedhERlrTB4lhOhP%2B%2BXdD7JNWkLtP42AYTuFmCzGuX%2Fb71KL%2BpqtMinjm3jMpXU5Uw6X3sxRP4yyYdCrO3jiPh1dl7Z%2BPedvaO1PjJAwsaYxYH%2FwRXYP6Chl7ChWFPjsmwcIrdqzraTBrjb0UwPHW5q%2B1UMSeUO%2BRertgAAh5g6%2F4zOgIZ84xfWK%2F3yiBbmksuSTOwIYYrdMQZt6dWibLM9GgeN6NqZBQ2JuiCcpndLd9omc%2FpsdZ2jnxMSpK5NPnLOs%2FhVOuGXOrkoFGAjC3pAziFMPq%2FViXCl3zKVS0Xs6jwpRP5%2F9JrGZ7bv39tSEJu%2By8xE7OJCn9UfDc5wOE2qtha5hwhsfWmvOHaeo4xIczBvzyDbtJI19ntJ%2Bi1vBf22334aH0TB9HmaSTlZNJNs7EXIVrJ%2Fr5Fd7MtoOnLYXH8JV945sHtIryZo4YPzW4oZnS16jXwtnRNsPBggijmsKIRSgEoEG4PCSn9SSHQpYHMIGHMoXiznzOQcS%2BQInu%2B%2BE8HlKD9a%2BK26Zy2iv6idYtAhxT860vcrPoGw1%2FCZt2SKBEKbTLgWwc77qA0wGllTvmOtnsSE83Xfx2zLLPz%2B7zre7gwiD0Noa8bor3m3GGcXsGqzhHK8Ij3X01PERwz1lg3uURw67LF7M5hzTjdc0gQCs8fm6je3uTcfibIT5Ao3p9HfNXBf%2FS0rFTI83wuMkgeMnFTSta9UavFOG1ja2r9vHn2ktDoVigOYLUwDFjf1CiHO40bBDsD8NuTSYHIGoK74Abgm9Mu24Qj8Uy0pd93uzcY%2F62zkK3wW7zGcLnPMBfZNfgzYuwYUAX9mFy%2FjiWOog%2Flt9Z9qZLu8sHnfxvxXj1nvM0XYYmtWxRVfcdPdacxCxR5Jix9ulup4zKPSoSrqDacMLT0tus1IvcU6pXAPVyYWmJg%3D%3D#polycard_client=search-desktop&is_advertising=true&searchVariation=MECU2434230679&backend_model=search-backend&search_layout=grid&position=50&type=pad&tracking_id=6a499e96-4072-43b6-a601-d735de2d689c&wid=MEC517292317&sid=search
"Ltc Computador Amd Ryzen 7 5700g 4,6ghz(500gb Ssd/8gb Ram) 8 Gb",445.49,https://click1.mercadolibre.com.ec/mclics/clicks/external/MEC/count?a=xWfA%2BH7dfdaVRd3BCrXCcMBAS628LZEkXg%2FIJYo4RP3VepDE2WvO4qvbYFj1Yp1IjlGimmygTSyl4bbvMy%2BrCGd%2BzKuNiBEfyRUyt2Xn2JKonoJ8Ww71frFbnYVCJVbbqApBdAhLhNNtFJkLoka4DhjoI%2Bmc%2FKLmHd3YNGeubxlSp6uZCAPYlu%2FCSF9O3GnPM5hNMoAwM1sovq%2B%2FlT%2BN4uwsTFtmvS2Q3k5P35eCZoN1QEwGq%2BrAu2UtGXW8HYeWeLpgColDzISUG%2F2WnqmKN33ollPG3Fqz4jaDMCRyX0T7wmCEFezQsYL1VfgHmuPx6cRAo6GgXtD0vV8qVQjJ6IfQ88%2F2IdSSGn%2Bst4JP2oGHVl08zryibHzijEsi2npstZOe%2FDEPBe1b4%2BHrrPvwZFSllLwbS9hVfLQFunJsgfLN9dp1p0uzmOFJ9834u7qLGgQgLTPzC684hIAYlVWqAKm6asoln3bx3CJ1xE0CyaSPpso1rPnJqDdewC5m1pkPzXiDr9vmdTc5HlUnnjQEI7t57PxEyREIWg6Rc7H%2FmKImNnAy8SkXpjB4mlcdviKKOlWBznr%2F0ONc%2BeVOWfIiKTebeqFJpnrNDwrCei%2B5CVaV9wC49fjDIerH0EZ5E%2FhRE4uNJOPIllw1cu70g69OXQaLuLSSlZ%2FesMJxkzjHnZTSQOKUed8jla3MzmNSwtg2MDWjDZJDkqUn%2B9ILKOj5nxcfxXHEauUY3yxbsPZtRclFQqSSxYb2YRvP6d46Q6%2BlnNnGc1mxmHMf3xY5Fru5hRxhkgvQMInaTzfy3SiZe%2F7DVdj7IeVIEykBW6LSMqTdDElhGrrerpphYWbsiONUT9rAEhNGuDmK3SHkrOq1ej37nSPiECjc6a7Y1ZwzIAK3VxyRBiTIXvJkChycWE73Ab8ioDmi8gjY2Z4iFpdFd2FgZEvE1Psj%2FNWWuyk%3D#polycard_client=search-desktop&is_advertising=true&searchVariation=MECU2438973832&backend_model=search-backend&search_layout=grid&position=51&type=pad&tracking_id=6a499e96-4072-43b6-a601-d735de2d689c&wid=MEC517857670&sid=search
"Ltc Computador Intel Core I5 12400 2,5ghz(500gb Ssd/8gb Ram) 8 Gb",569.99,https://click1.mercadolibre.com.ec/mclics/clicks/external/MEC/count?a=%2BRBF1OCWZzXMmAG4585zxqDx0gq5UiLeiSIwZiw%2BPXYaAGLKiQqRt7Re3LookRRITzcp96vWzu5eONSweUwadpYF5YAWCO7YYTF%2Brs2jd6PoVj3RLUXGKQSXCcnZKiV7m48LcYmgD0eGhUAY9muQHetXELE47fXXF0cUwCyp65rqF7bDDGcEHujy7KD%2BoKC14vddQ682kHAIItbSYmclJ9sllyqIYtF10mtI%2FHdZK6Ylr1dD68QkVqHvzltyXtC0V%2B0WiaYLlz8R4rScH3s6z%2BFPXPjwSD2iC3qujrV9RKdeHF4OZDFA0xR1gtlAlreJVLnnkUJgbh3owaw4%2BTCA9f0Y5ZwgyLg5UsIfKdx5l59Dz6GeZaSyUUY3CvhyX5SgdNg5nJ0UlU0eIboGui8N%2Bjvp%2FX679tTfN4OWnh%2BfxOp%2Bh9coD7ROZsGln5QI7O5n%2FjoV9AIKNUFkjEdG%2F2yt8P7INwaMsIrjdnjg%2BaLM%2FBHtIygJKjSZsFvH0XakAv81nqJKX0kfjTEs44Z3H1ZZiQraAYUb1KyJKUp9Xem%2F%2FsQbmSqV1xE95i3ab2HW1446J%2BlGrI4rJO%2BBYX4aRTH%2BHZlzg%2FgZOrIPdnmImpZzknKraHw9FjFQ5q9OP4r6ag8nwr3lZVEe6aQaviiHwKs0olQoXsv0bXsQXikWDD6HWzk1FGw8msrrPbDtL%2FHFzRs3PUPyZ49xYj%2FEVXs2Vl6V6FMzU1z%2B76PT80G661hTqkAtj9H%2B1s9G58CGofqVGYX435sREUr6TxLOMhlSZzKhF5uFsNmaAHEaXOmdGp5LA6dRZWJJATe8qh8pLwfV55pNYoH8b3OiaZCDKgeqGKkyq8tqnzff1BoGViBUkW15l0UgWBVYeWwLXcGcLLNk%2BztuvbNGd3v27iB0YCUiuVAS5Kg07stFWitM3VE5HCozJoxy5QeSzuCGbWhpDTcW9mA%3D#polycard_client=search-desktop&is_advertising=true&searchVariation=MECU2662837131&backend_model=search-backend&search_layout=grid&position=52&type=pad&tracking_id=6a499e96-4072-43b6-a601-d735de2d689c&wid=MEC517306134&sid=search
